Name,Height,Weight,Country,Gender
"Boyle, Lauren",183,67,New Zealand,W
"Brabants, Tim",189,88,Team GB,M
"Bradley, Sophie",169,59,Team GB,W
"Bragg, Rachel",184,75,Team GB,W
"Braithwaite, Michael",189,91,Canada,M
"Brash, Scott",171,64,Team GB,M
"Brata, Daniel",185,100,Romania,M
"Brennan, Ashleigh",159,46,Australian Olympic Team,W
"Brickell, Richard",180,76,Team GB,M
"Broersen, Nadine",171,63,Netherlands,W
"Brooks, Lance",198,123,Team USA,M
"Brown, Adam",196,95,Team GB,M
"Brown, Rachel",168,66,Team GB,W
"Browne, Marcus",188,81,Team USA,M
"Brownlee, Alistair",185,70,Team GB,M
"Brownlee, Jonny",178,68,Team GB,M
"Bryant, Karina",184,103,Team GB,W
"Bryant, Kelci",163,61,Team USA,W
"Buchanan, Rushlee",170,63,New Zealand,W
"Buck, Richard",188,80,Team GB,M
"Buehler, Rachel",165,65,Team USA,W
"Buffet, Romain",192,90,France,M
"Bugg, Rachel",159,56,Australian Olympic Team,W
"Buhari, Abdul",192,125,Team GB,M
"Buikevich, Aliaksandr",191,75,Belarus,M
"Bulatovic, Andela",175,65,Montenegro,W
"Buric, Damir",205,115,Croatia,M
"Burke, Steven",183,74,Team GB,M
"Burnett, Simon",189,82,Team GB,M
"Burton, Euan",182,83,Team GB,M
"Busila, Andrei",191,92,Romania,M
"Butkevych, Olga",160,60,Team GB,W
"Butland, Jack",195,95,Team GB,M
"Butler, Kim",188,80,Team GB,W
"Byl, Lyn",172,67,Team GB,W
"Byun, Youngjun",175,58,South Korea,M
"Cadee, Erik",201,120,Netherlands,M
"Caianiello, Andrea",183,73,Italy,M
"Cairns, Imogen",156,59,Team GB,W
"Calderon, Jose",191,90,Spain,M
"Calle Williams, Maria Luisa",168,52,Colombia,W
"Campana, Giorgia",152,46,Italy,W
"Campazzo, Facundo",179,88,Argentina,M
"Campbell, Alan",191,96,Team GB,M
"Campbell, Luke",175,56,Team GB,M
"Carey, Michelle",169,57,Ireland,W
"Carney, Karen",163,55,Team GB,W
"Carry, David",184,75,Team GB,M
"Carter, Grace",183,78,Team GB,W
"Carvalho, Diogo",181,73,Portugal,M
"Casanova, Elisa",185,100,Italy,W
"Cassar, Georgina",170,61,Team GB,W
"CASSARA', Andrea",192,90,Italy,M
"Castel, Alexianne",180,76,France,W
"Castillo Suarez, Jocelyn",151,47,Venezuela,W
"Castro, Katerin",174,64,Colombia,W
"Castro, Sheilla",187,67,Brazil,W
"Castroviejo Nicolas, Jonathan",172,64,Spain,M
"Catlin, Nicholas",175,74,Team GB,M
"Caulker, Steven",191,76,Team GB,M
"Cavaleiro, Deonise",180,73,Brazil,W
"Cavendish, Mark",175,69,Team GB,M
"Cawthorn, Rachel",176,70,Team GB,W
"Cebrian Martinez De Lagos, CEBRIAN MARTINEZ de LAGOS Alicia",168,63,Spain,W
"Centrowitz, Matthew",175,60,Team USA,M
"Cerches, Natalia",170,55,Moldova,W
"Cerkovskis, Deniss",180,76,Latvia,M
"Cerra, Juan Ignacio",180,100,Argentina,M
"Cesan, Michelle",173,66,Team USA,W
"Chai, Biao",184,70,China,M
"Chambers, Peter",187,73,Team GB,M
"Chambers, Richard",183,74,Team GB,M
"Chammartin, Ludovic",168,60,Switzerland,M
"Charles, Peter",175,78,Team GB,M
"Chatterton, Renee",185,78,Australian Olympic Team,W
"Chen, Ding",180,62,China,M
"Chen, Weiwu",192,88,China,M
"Chen, Yibing",160,58,China,M
"Chen, Zuo",186,79,China,M
"Chevallier, Seba",193,88,Switzerland,M
"Cheverton, Samantha",160,48,Canada,W
"Child, Eilidh",171,59,Team GB,W
"Chinnawong, Chatuphum",164,77,Thailand,M
"Chintoan, Rares Daniel",189,120,Romania,M
"Chioveanu, Mihnea",198,115,Romania,M
"Choi, Ki Ho",173,59,Hong Kong,M
"Chondrokoukis, Dimitrios",195,65,Greece,M
"Cieslak, Marcin",193,85,Poland,M
"Clancy, Ed",186,77,Team GB,M
"Clark, Dan",210,109,Team GB,M
"Clark, Katie",168,52,Team GB,W
"Clark, Sarah",173,57,Team GB,W
"Clark, Saskia",176,68,Team GB,W
"Clarke, Jessica",163,55,Team GB,W
"Clarke, Jonathan",184,79,Team GB,M
"Clarke, Lawrence",187,78,Team GB,M
"Clayton, Francesca",170,69,Team GB,W
"Clement, Kerron",188,86,Team USA,M
"Cleverley, Tom",180,73,Team GB,M
"Cojuhari, Olesea",170,58,Moldova,W
"Collins, Stef",167,63,Team GB,W
"Conti, Giulia",172,62,Italy,W
"Conway, Sally",170,70,Team GB,W
"Cook, Kristina",175,71,Team GB,W
