Name,Height,Weight,Country,Gender
"Jorgensen, Gwen",178,59,Team USA,W
"Joshua, Anthony",198,106,Team GB,M
"Jukes, Louise",169,75,Team GB,W
"Jung, Jinhwa",182,74,South Korea,M
"Jurkowski, Kenneth",188,95,Team USA,M
"Kalmer, Rene",178,49,South Africa,W
"Karakasevic, Aleksandar",180,84,Serbia,M
"Karakus, Ayhan",165,55,Turkey,M
"Karakus, Nimet",168,64,Turkey,W
"Kartaltepe, Nilay",172,52,Turkey,W
"Kashirina, Tatiana",177,80,Russian Federation,W
"Kato, Ryohei",162,54,Japan,M
"Kaun, Sasha",211,114,Russian Federation,M
"Kavelasvili, David",180,94,Greece,M
"Kaynar, Alican",191,97,Turkey,M
"Kazakevics, Igors",176,76,Latvia,M
"Kennaugh, Peter",174,64,Team GB,M
"Kenny, Jason",177,80,Team GB,M
"Keothavong, Anne",174,63,Team GB,W
"Kershaw, Beckie",175,59,Team GB,W
"Kerwood, Charlotte",172,69,Team GB,W
"Khanafeyeva, Gulfiya",173,70,Russian Federation,W
"Khmyrova, Tatiana",173,68,Russian Federation,W
"Kidane, Werknesh",160,41,Ethiopia,W
"Kiefer, Lee",163,49,Team USA,W
"Killeen, Liam",173,65,Team GB,M
"Kim, Bokyung",178,73,South Korea,M
"Kim, Changsoo",177,70,South Korea,M
"Kim, Jiyeon",165,57,South Korea,W
"Kim, Myong Gum",163,58,North Korea,W
"Kim, Nam Hui",163,52,North Korea,W
"Kim, Seung Gyu",187,80,South Korea,M
"Kim, Sol Ji",168,57,South Korea,W
"Kim, Yeji",175,68,South Korea,W
"Kim, Yeon-Koung",192,73,South Korea,W
"Kim, Yoo Suk",191,84,South Korea,M
"Kim, Younggwon",187,74,South Korea,M
"Kim, Youngkwang",184,85,South Korea,M
"King, Dani",175,62,Team GB,W
"King, Dominic",178,70,Team GB,M
"King, Mary",170,65,Team GB,W
"King, Sean",193,91,Team GB,M
"Kingma, Nienke",182,74,Netherlands,W
"Kiraz, Ummu",162,48,Turkey,W
"Kirkbride, Peter",189,94,Team GB,M
"Kirkham, Brian",183,84,Australian Olympic Team,M
"Kirkham, Glenn",180,80,Team GB,M
"Kiss, Daniel",196,96,Hungary,M
"Klauss, Gauthier",171,65,France,M
"Kleinert, Nadine",190,94,Germany,W
"Klimke, Ingrid",172,59,Germany,W
"Kmetova, Ivana",175,63,Slovakia,W
"Knobbs, Jennifer",155,49,Team GB,W
"Knox, Bronwen",182,88,Australian Olympic Team,W
"Knyazyeva, Hanna",179,67,Ukraine,W
"Kogovsek, Andres",190,92,Argentina,M
"Kohlmann, Fabienne",170,58,Germany,W
"Kolocova, Kristyna",170,62,Czech Republic,W
"Kononenko, Nataliya",158,50,Ukraine,W
"Konukh, Sofya",173,61,Russian Federation,W
"Kopp, Pavol",183,74,Slovakia,M
"Korstin, Ilona",182,70,Russian Federation,W
"Kossayev, Yerkebulan",165,60,Kazakhstan,M
"Kouyate, Cheikhou",192,75,Senegal,M
"Kovacs, Tamas",179,62,Hungary,M
"Kovalenko, Nazar",178,70,Ukraine,M
"Kovalev, Nikolay",176,70,Russian Federation,M
"Krueger, Stephan",187,86,Germany,M
"Kruse, Richard",190,85,Team GB,M
"Kubokura, Satomi",161,52,Japan,W
"Kudzelich, Sviatlana",170,52,Belarus,W
"Kulhavy, Jaroslav",187,76,Czech Republic,M
"Kulkina, Anna",167,52,Kazakhstan,W
"Kvyatkovskyy, Andriy",173,71,Ukraine,M
"Kyiko, Maryna",162,52,Ukraine,W
"Kynard, Erik",193,86,Team USA,M
"Laanmae, Tanel",184,89,Estonia,M
"Lacroix, Audrey",163,53,Canada,W
"Lambert, Christophe",184,86,Germany,M
"Lambourne, Richard",191,100,Team USA,M
"LAM-MOORES, Holly",169,59,Team GB,W
"Lamont, Christopher",200,80,Team GB,M
"Lan, Xing",169,63,China,M
"Langehanenberg, Helen",164,48,Germany,W
"Langridge, Matthew",195,96,Team GB,M
"Larimer, Jeffrey",188,74,Team USA,M
"Larionov, Dmitry",185,76,Russian Federation,M
"Larson, Breeja",183,73,Team USA,W
"Larsson, Steven",195,95,Team GB,M
"Last, Annie",167,60,Team GB,W
"Laugher, Jack",166,65,Team GB,M
"Lawrence, Andrew",188,87,Team GB,M
"Lawrence, Corinna",168,63,Team GB,W
"Lawrence, Micah",183,66,Team USA,W
"Laybourne, Rachel",179,67,Team GB,W
"Lazuka, Yevgeniy",189,81,Azerbaijan,M
"Le, Chien-Ying",165,65,Chinese Taipei,W
"Leaf, Savanah",183,73,Team GB,W
"Lebherz, Yannick",194,85,Germany,M
"Leclair, Stephanie",172,54,Canada,W
"Lee, Tae Hoon",180,76,South Korea,M
"Leedham, Johannah",178,76,Team GB,W
"Leigh, Mike",179,73,Canada,M
"Leighton, Fran",182,72,Team GB,W
"LENNON-FORD, Luke",183,75,Team GB,M
"Lenzly, Mike",189,85,Team GB,M
"Lester, Justin Dashaun",170,73,Team USA,M
"Leumann, Katrin",174,54,Switzerland,W
"Leung, Chun Shek",179,75,Hong Kong,M
"Leung, Ho Tsun Andy",177,75,Hong Kong,M
"Leuthold, Yvonne",176,74,Team GB,W
"Levine, Nigel",178,68,Team GB,M
"Lewers, Iain",183,79,Team GB,M
"Lewis, Steven",191,84,Team GB,M
"LEWIS-FRANCIS, Mark",180,95,Team GB,M
"Li, Hongxia",168,60,China,W
"Li, Jianbo",174,60,China,M
"Li, Xiayan",199,98,China,M
"Lika, Savva",168,73,Greece,W
"Lina, Dace",162,53,Latvia,W
"Lindberg, Hans",188,88,Denmark,M
"Ling, Ed",178,76,Team GB,M
"Little, Kim",162,60,Team GB,W
"Liu, Hong",160,50,China,W
"Liu, Na",162,52,Team GB,W
"Liu, Qiang",178,60,China,M
"Liu, Zige",181,70,China,W
"Lloyd, Ieuan",193,83,Team GB,M
"Lloyd, Jess",178,80,Team GB,W
"Lofgren, Esther",188,79,Team USA,W
"Lopez, Steven",191,83,Team USA,M
"Losert, Venio",191,92,Croatia,M
"Loughran, Marco",186,75,Team GB,M
"Louloudis, Constantine",190,94,Team GB,M
"Louw, Gideon",194,93,South Africa,M
"Lovassy, Krisztian",180,71,Hungary,M
"Lowe, Jemma",171,58,Team GB,W
"Lu, Ying",175,62,China,W
"Lucas, Bill",199,100,Team GB,M
"Lucas, Dakota",170,68,New Zealand,M
"Lucass, Vicki",170,63,Team GB,W
"Luckwell, Mervyn",191,104,Team GB,M
"Luini, Elia",183,72,Italy,M
"Lukashyk, Kanstantsin",176,75,Belarus,M
"Lunkuse, Jamila",153,60,Uganda,W
"Luo, Yutong",165,62,China,M
"Lush, Annie",178,77,Team GB,W
"Ma, Jin",165,61,China,W
"Macek, Bostjan",174,118,Slovenia,M
"Macgregor, Kate",158,60,Team GB,W
"Macgregor, Lucy",158,63,Team GB,W
"Mackay, Iain",180,75,Team GB,M
"Macleod, Hannah",172,67,Team GB,W
"Madaj, Natalia",175,70,Poland,W
"Maestri, Riccardo",176,72,Italy,M
"Magnussen, James",195,90,Australian Olympic Team,M
"Maguire, Emily",169,61,Team GB,W
"Maguire, Lindsey",187,76,Team GB,W
"Maher, Ben",187,68,Team GB,M
"Majewski, Tomasz",204,142,Poland,M
"Makarenko, Alina",172,48,Russian Federation,W
"Makhneu, Vadzim",196,100,Belarus,M
"Maksimovic, Ivana",160,50,Serbia,W
"Malcolm, Christian",178,71,Team GB,M
"Mandic, Milica",180,72,Serbia,W
"Mankoc, Peter",192,88,Slovenia,M
"Mansilla, Luis",175,68,Chile,M
"Mantell, Richard",189,92,Team GB,M
"Maoua, Atef",200,100,Tunisia,M
"Marachkouskaya, Nastassia",167,60,Belarus,W
"Marco, Luis Alberto",184,70,Spain,M
"Mareghni, Hana",173,67,Tunisia,W
"Marescia, Marsha",165,56,South Africa,W
"Marshall, Savannah",181,75,Team GB,W
"Martikan, Michal",170,71,Slovakia,M
"Martin, Boyd",185,68,Team USA,M
"Martin, Harry",182,77,Team GB,M
"Martin, Lucy",169,57,Team GB,W
"Martina, Churandy",178,74,Netherlands,M
"Marton, Anita",172,90,Hungary,W
"Marton, Carmen",172,67,Australian Olympic Team,W
"Mata Perez, Andres Eduardo",174,77,Spain,M
"Mathewson, Courtney",170,71,Team USA,W
"Matienko, Anna",182,68,Russian Federation,W
"Matoshka, Alena",177,80,Belarus,W
"Mayes, Jane",173,88,Team GB,W
"Mayr, Camilo",178,74,Germany,M
"Mccabe, McCABE Conlin",205,100,Canada,M
"Mccafferty, McCAFFERTY Lynn",168,64,Team GB,W
"Mccann, McCANN Fiona",172,70,Team GB,W
"Mccarthy, McCARTHY Alex",193,88,Team GB,M
"Mcclatchey, McCLATCHEY Caitlin",170,57,Team GB,W
"Mccolgan, McCOLGAN Eilish",154,53,Team GB,W
"Mcconnell, McCONNELL Lee",177,64,Team GB,W
"Mccormick, McCORMICK Nick",188,70,Team GB,M
"Mccormick, McCORMICK Riley",172,66,Canada,M
"Mcdermott, McDERMOTT Christopher",204,105,Team GB,M
"Mcevoy, McEVOY Cameron",185,85,Australian Olympic Team,M
"Mcgivern, McGIVERN Mark",195,87,Team GB,M
"Mcintosh, Jennifer",175,71,Team GB,W
"Mckeever, Ed",173,79,Team GB,M
"Mckenzie, Ashley",162,60,Team GB,M
"Mcmillan, McMILLAN Daniel",189,93,Team GB,M
"Mears, Chris",172,70,Team GB,M
"Mehari, Rehaset",165,51,Eritrea,W
"Mejri, Aymen",180,72,Tunisia,M
"Melancon, Joliane",170,57,Canada,W
"Melian, Alberto Ezequiel",170,56,Argentina,M
"Melnychenko, Hanna",178,67,Ukraine,W
"Meloni, Roberto",180,90,Italy,M
"Melzer, Jurgen",184,80,Austria,M
"MENSAH-BONSU, Pops",206,111,Team GB,M
"Mercedes Reyes, Yulis",163,58,Dominican Republic,M
"Merrien, Lee",182,61,Team GB,M
"Miao, Lijie",178,75,China,W
"Michaud, Sebastien",185,78,Canada,M
"Michel, Ciara",194,70,Team GB,W
"Michshuk, Angelina",155,54,Kazakhstan,W
"Middleton, Barry",178,68,Team GB,M
"Mier, Hiram",179,70,Mexico,M
"Migitinov, Soltan",175,75,Azerbaijan,M
"Miley, Hannah",166,53,Team GB,W
"Millar, David",191,78,Team GB,M
"Millar, Ian",185,76,Canada,M
"Miller, Joel",191,86,Team GB,M
"Miller, Shaunae",185,69,Bahamas,W
"Mills, Hannah",157,50,Team GB,W
"Minczer, Albert",179,63,Hungary,M
"Mingir, Gulcan",165,53,Turkey,W
"Miranda Dorado, Lorena",174,73,Spain,W
"Miskovic, Marijana",166,63,Croatia,W
"Mitchell, Ethan",180,81,New Zealand,M
"Mitchell, Manteo",185,79,Team USA,M
"Miyake, Hiromi",146,48,Japan,W
"Mogushkov, Musa",170,66,Russian Federation,M
"Mohamed, Aida",162,56,Hungary,W
"Mohd Taibi, Nur Suryani",168,65,Malaysia,W
"Mohr, Christopher",187,83,Team GB,M
"Mohsen, Marwan",187,82,Egypt,M
"Monaco, Juan",185,77,Argentina,M
"Montemayor, Ricardo",190,80,Mexico,M
"Montero, Victoria",166,64,Mexico,W
"Moodaly, Robyn",162,52,South Africa,W
"Moore, Graeme",198,98,South Africa,M
"Moore, Robert",183,81,Team GB,M
"Moreau, Fabrice",179,69,France,M
"Moreira, Antonia",170,68,Angola,W
"Morgan, Christopher",191,85,Australian Olympic Team,M
"Morgan, Joanne",170,60,Team GB,W
"Morganella, Michel",182,77,Switzerland,M
"Morioka, Koichiro",184,66,Japan,M
"Morosanu, Angela",181,62,Romania,W
"Morozov, Artem",195,104,Ukraine,M
"Morris, Rosie",180,69,Team GB,W
"Morrison, Steve",178,77,Team GB,M
"Morse, Brett",190,110,Team GB,M
"Mortensen, Karin",181,75,Denmark,W
"Mosina, Veronika",172,57,Russian Federation,W
"Mostafa, Anas",182,74,Egypt,M
"Moura, Mayara",170,66,Brazil,W
"Muda, Tycho",183,70,Netherlands,M
"MUELLER-WIELAND, Janne",175,66,Germany,W
"Muff, Werner",182,76,Switzerland,M
"Muhammad, Lulato",188,80,Team GB,M
"Muller, Lena",173,59,Germany,W
"Mullin, Shauna",178,74,Team GB,W
"Munro, Hope",160,57,Australian Olympic Team,W
"Murdoch, Andrew",183,82,New Zealand,M
"Murillo, Osman",176,73,Costa Rica,M
"Murphy, Grainne",171,71,Ireland,W
"Murray, Andy",188,84,Team GB,M
"Murray, Jamie",190,82,Team GB,M
"Murray, Janine",169,54,Australian Olympic Team,W
"Murray, Samantha",174,59,Team GB,W
"Musgrove, Hazel",170,65,Team GB,W
"Mutekanga, Julius",176,76,Uganda,M
"Muzaffer, Bahram",187,81,Turkey,M
"Myers, Tim",185,81,New Zealand,M
"Myerscough, Carl",208,160,Team GB,M
"Nabarrete Zanetti, Arthur",156,62,Brazil,M
"Nalbandian, David",180,79,Argentina,M
"Narcisse, Daniel",189,93,France,M
"Nash, George",195,97,Team GB,M
"Nasri, Noura",165,68,Tunisia,W
"Naylor, Emily",167,55,New Zealand,W
"Nchout, Ajara",164,65,Cameroon,W
"Neave, Lizzie",171,63,Team GB,W
"Neethling, Candice",170,60,South Africa,W
"Newlin, Brett",206,102,Team USA,M
"Ng, Yan Yee",155,55,Malaysia,W
"Nicholls, Robyn",178,65,Team GB,W
"NI-DANIELSSON, Xia Lian",157,57,Luxembourg,W
"Nielsen, Matt",209,98,Australian Olympic Team,M
"Nikolov, Nikolay",206,93,Bulgaria,M
"Nilsson, Andreas",197,102,Sweden,M
"Nitta, Yudai",173,77,Japan,M
"NOCETI-KLEPACKA, Zofia",170,59,Poland,W
"Nofel, Mohamed",180,71,Egypt,M
"Nordlow, Josefin",171,65,Sweden,W
"Nunes, Miguel",180,72,Portugal,M
"Nyblom, Haakan Erik",160,55,Denmark,M
"Nyhaug, Tory",185,90,Canada,M
"O, Chang Ran",172,66,North Korea,W
"O`REGAN, Joseph",203,105,Team GB,M
"Oates, Colin",181,66,Team GB,M
"Oblinger, Helmut",180,70,Austria,M
"Ochal, Glenn",193,93,Team USA,M
"O'CONNOR, Caroline",157,48,Team GB,W
"Oconnor, Siobhan-Marie",173,60,Team GB,W
"Odriozola, Mikel",178,67,Spain,M
"Offereins, Ben",184,76,Australian Olympic Team,M
"Ogar, Jolanta",178,70,Poland,W
"Ogogo, Anthony",181,75,Team GB,M
"Oh, Sang Eun",186,72,South Korea,M
"Ohuruogu, Christine",158,68,Team GB,W
"O'KEEFFE, Michael",183,78,New Zealand,M
"Okoro, Marilyn",167,60,Team GB,W
"Okoye, Lawrence",197,129,Team GB,M
"Olaru, Dan",175,70,Moldova,M
"Oldham, Sam",168,62,Team GB,M
"Oliver, Amy",173,62,Team GB,W
"Oliver, Jack",168,77,Team GB,M
"Om, Yun Chol",152,56,North Korea,M
"O'MALLEY, Kieran",188,82,Team GB,M
"Omarov, Magomed",195,93,Russian Federation,M
"Omelchuk, Oleh",170,75,Ukraine,M
"Ong, Mylene",169,55,Singapore,W
"Onuora, Anyika",178,72,Team GB,W
"Oquendo Zabala, Carlos Mario",175,81,Colombia,M
"Orujov, Rustam",179,73,Azerbaijan,M
"Osagie, Andrew",189,72,Team GB,M
"Ota, Kazuomi",183,145,Japan,M
"Ouechtati, Bilel",172,74,Tunisia,M
"Ouseph, Rajiv",189,82,Team GB,M
"Overall, Scott",181,62,Team GB,M
"Owens, Ger",175,61,Ireland,M
"Oyepitan, Abiodun",165,57,Team GB,W
"Pacierpnik, Natalia",169,58,Poland,W
"Padar, Martin",194,140,Estonia,M
"Page, Julie",188,85,Team GB,W
"Page, Natasha",178,75,Team GB,W
"Pahapill, Mikk",197,95,Estonia,M
"Palameika, Madara",183,76,Latvia,W
"Paldanius, Sofia",180,74,Sweden,W
"Palies, Ewa",173,73,Team GB,W
"Pang, Wei",179,80,China,M
"Panichpatikum, Jakkrit",170,64,Thailand,M
"Pannecoucke, Laurens",182,82,Belgium,M
"Panter, Anne",170,62,Team GB,W
"Paonessa, Mario",193,95,Italy,M
"Papachristos, Stergios",190,88,Greece,M
"Pareja Lisalde, Jennifer",174,63,Spain,W
"Pareto, Paula",150,48,Argentina,W
"Parisi, Hugo",173,68,Brazil,M
"Park, Chanyoung",190,85,South Korea,M
"Park, Jiho",165,59,South Korea,M
"Park, Keon Woo",173,65,South Korea,M
"Parker, Barbara",171,52,Team GB,W
"Parker, Jason",175,77,Team USA,M
"Parker, Jesper",200,100,Team GB,M
"Parker, Joanna",178,63,Team GB,W
"Parker, Rob",200,100,Team GB,M
"Parra, Yusbelys",170,65,Venezuela,W
"Parsonage, Alex",180,87,Team GB,M
"Partridge, Alex",193,93,Team GB,M
"Paszek, Tamira",165,62,Austria,W
"Pateniotis, Mike",180,76,Greece,M
"PATERSON-ROBINSON, James",170,65,Australian Olympic Team,M
"Patience, Luke",167,59,Team GB,M
"Paul, Chris",183,86,Team USA,M
"Pautaran, Maryna",178,68,Belarus,W
"Pavey, Joanne",162,49,Team GB,W
"Pavoni, Roberto",176,71,Team GB,M
"Pawlowski, Lukasz",183,70,Poland,M
"Payne, Keri-Anne",175,66,Team GB,W
"Pearce, John",190,88,Team GB,M
"Pedersen, Christinna",178,71,Denmark,W
"Pendleton, Victoria",165,60,Team GB,W
"Pennes, Gregoire",179,68,France,M
"Peralta Jara, Yamil",189,91,Argentina,M
"Peralta, Maria",167,49,Argentina,W
"Percy, Iain",187,95,Team GB,M
"Perdue, Natasha",161,70,Team GB,W
"Perez Vertti Ferrer, Arturo",194,80,Mexico,M
"Persse, Lee-Ann",181,74,South Africa,W
"Persson, Jorgen",186,79,Sweden,M
"Petrova, Nadia",178,65,Russian Federation,W
"Phillips, Liam",178,83,Team GB,M
"Phillips, Zara",168,64,Team GB,W
"Pieterse, Erasmus",189,85,South Africa,M
"Pina, Joao",177,73,Portugal,M
"Pinches, Jennifer",160,55,Team GB,W
"Pink, Andrew",193,85,Team GB,M
"Pinner, George",193,93,Team GB,M
"Pinto, Adriana",168,62,Brazil,W
"Pinto, Tatjana",170,55,Germany,W
"Pinzon Garcia, Omar",186,85,Colombia,M
"Pipes, Ben",204,90,Team GB,M
"Pirghie, Cristi-Ilie",202,108,Romania,M
"Piron, Beatriz",150,48,Dominican Republic,W
"Pironkova, Tsvetana",180,66,Bulgaria,W
"Pitchford, Liam",183,57,Team GB,M
"Platnitski, Dzmitry",190,84,Belarus,M
"Pliev, Khetag",182,96,Canada,M
"Plotyczer, Mark",195,86,Team GB,M
"Podhrasky, Martin",192,85,Czech Republic,M
"Poewe, Sarah",175,71,Germany,W
"Pollack, Golan",175,66,Israel,M
"Pong, Son Hwa",166,57,North Korea,W
"Ponomarenko Janic, Spela",169,65,Slovenia,W
"Pooley, Emma",157,48,Team GB,W
"Porter, Tiffany",175,68,Team GB,W
"Post, Alise",157,58,Team USA,W
"Potent, Warren",177,73,Australian Olympic Team,M
"Pouli, Louisa",162,57,Team GB,W
"Povazsay, Eszter",183,74,Hungary,W
"Powell, Stacie",167,61,Team GB,W
"Pozzi, Andrew",190,78,Team GB,M
"Prieto, Sebastian",187,80,Team GB,M
"Pritchard, Alexis",178,59,New Zealand,W
"Proctor, Shara",165,60,Team GB,W
"Prokopenko, Anastasiya",163,59,Belarus,W
"Proud, Stephanie",169,65,Team GB,W
"Prystupa, Daryna",163,56,Ukraine,W
"Purchase, Zac",186,72,Team GB,M
"Purvis, Daniel",168,62,Team GB,M
"Pusterla, Irene",176,64,Switzerland,W
"Pysmenska, Anna",157,50,Ukraine,W
"Qieyang, Shenjie",160,50,China,W
"Rada Rodriguez, Sergio Armando",162,56,Colombia,M
"Radcliffe, Paula",173,54,Team GB,W
"Radicevic, Jovanka",170,65,Montenegro,W
"Radovic, Ana",175,65,Montenegro,W
"Rafferty, Claire",164,58,Team GB,W
"Rahali, Maroua",168,51,Tunisia,W
"Rahautsou, Stsiapan",174,58,Belarus,M
"Ram, Andy",180,83,Israel,M
"Ramirez, Candido",169,68,Mexico,M
"Ramsey, Aaron",178,70,Team GB,M
"Randall, Allison",178,86,Jamaica,W
"Randall, Asha",178,52,Team GB,W
"Randall, Jenna",173,55,Team GB,W
"Ransley, Tom",198,100,Team GB,M
"Rasic, Milena",193,75,Serbia,W
"Reade, Shanaze",170,76,Team GB,W
"Reau, Delphine",171,72,France,W
"Reed, Peter",197,100,Team GB,M
"Reeve, Louisa",184,73,Team GB,W
"Reid, Elizabeth",173,60,Team GB,W
"Reif, Christian",196,85,Germany,M
"Reinking, Nate",189,88,Team GB,M
"Renwick, Robbie",185,80,Team GB,M
"Reyes, Felipe",205,107,Spain,M
"Rhodes, Ben",183,72,Team GB,M
"Rhodes, Jordan",185,83,Team GB,M
"Ri, Myong Sun",163,54,North Korea,W
"Richards, Micah",180,82,Team GB,M
"Richardson, Helen",165,54,Team GB,W
"Rigaudo, Elisa",168,55,Italy,W
"Rimmer, Michael",185,67,Team GB,M
"Rindom, Anne-Marie",170,68,Denmark,W
"Riparelli, Jacques",183,81,Italy,M
"Rivas Espinoza, Wuileixis de Jesus",165,60,Venezuela,M
"Robinson, Glen",188,90,Team GB,M
"ROBINSON-BAKER, Nick",172,74,Team GB,M
"Robson, Laura",180,62,Team GB,W
"Rochus, Olivier",166,63,Belgium,M
"Rock, Michael",180,78,Team GB,M
"Rodford, Beth",178,77,Team GB,W
"Rodrigues, Ana Paula",172,64,Brazil,W
"Rodriguez, Alvaro",179,68,Spain,M
"Rodriguez, Jackson",168,60,Venezuela,M
"Rodriguez, Jose",185,80,Mexico,M
"Roebuck, Joe",188,80,Team GB,M
"Rogers, Chloe",161,57,Team GB,W
"Rojas Mina, Anderson",180,64,Ecuador,M
"Romanyuta, Evgeniya",166,60,Russian Federation,W
"Romeu, Oriol",183,89,Spain,M
"Rondon Martinez, Cindy Carolina",186,61,Dominican Republic,W
"Rooney, Martyn",198,81,Team GB,M
"Rose, Danny",170,73,Team GB,M
"Rosolova, Denisa",175,68,Czech Republic,W
"Rosolska, Alicja",166,53,Poland,W
"Rosowsky, Husayn",183,76,Team GB,M
"Ross, Jane",167,57,Team GB,W
"Rouba, Amina",173,59,Algeria,W
"Roux, Jessica",168,62,South Africa,W
"Rowbotham, Stephen",193,93,Team GB,M
"Rowsell, Joanna",180,64,Team GB,W
"Ruday, Mikhail",193,95,Kazakhstan,M
"Ruiz, Diego",178,64,Spain,M
"Russell, Colin",192,90,Canada,M
"Rutherford, Greg",188,87,Team GB,M
"Rutlidge, Alex",170,62,Team GB,W
"Rutter, Adam",173,60,Australian Olympic Team,M
"Ryabtsev, Vladislav",194,97,Russian Federation,M
"Ryder, Sean",188,94,Team GB,M
"Saad, eldin",168,82,Egypt,M
"Sakaev, Viacheslav",178,65,Russian Federation,M
"Sakai, Hiroki",183,70,Japan,M
"Sanchez Gil, Luis Leon",186,73,Spain,M
"Sanchez Moccia, Rocio",157,54,Argentina,W
"Sandell, Janine",177,82,Team GB,W
"Sanders, Nicola",171,58,Team GB,W
"Sarmiento Melian, Daniel",188,87,Spain,M
"Satch, Will",194,94,Team GB,M
"Satchwell, Nicholas",187,78,Team GB,M
"Sato, Kenki",163,63,Japan,M
"Sawers, Louisa",176,69,Team GB,W
"Sayers, Goldie",171,70,Team GB,W
"Sayidov, Ramziddin",180,100,Uzbekistan,M
"Sbihi, Mohamed",203,103,Team GB,M
"Schenkel, Reto",183,89,Switzerland,M
"Scheuber, Patrick",182,75,Switzerland,M
"Schleck, Frank",186,69,Luxembourg,M
"Schneider, Thomas",185,83,Germany,M
"Schodowski, Zbigniew",202,95,Poland,M
"Schofield, Jon",182,80,Team GB,M
"Scholefield, Adam",189,99,Team GB,M
"Schurr Voight, Christian",173,80,Mexico,M
"Schwank, Eduardo",183,83,Argentina,M
"Scott, Alex",163,59,Team GB,W
"Scott, Ed",197,85,Team GB,M
"Scott, Jill",181,64,Team GB,W
"Searle, Greg",197,97,Team GB,M
"Seibt, Bastian",187,71,Germany,M
"Selby, Andrew",169,52,Team GB,M
"Semmler, Ilka",183,70,Germany,W
"Sener, Yakup",170,64,Turkey,M
"Seok, Hajung",172,59,South Korea,W
"Seric, Andrea",184,82,Croatia,W
"Serseri, Sophia",154,45,France,W
"Seymour, Natalie",168,56,Team GB,W
"SHAKES-DRAYTON, Perri",172,66,Team GB,W
"Shanaeva, Aida",178,68,Russian Federation,W
"Shankland, Leith",196,90,South Africa,M
"Sharp, Lynsey",175,60,Team GB,W
"Shaw, Bryony",167,60,Team GB,W
"Shemyakina, Yana",167,58,Ukraine,W
"Sheppard, Natalia",165,52,Team GB,W
"Sherrington, Christopher",194,135,Team GB,M
"Shi, Dongpeng",192,85,China,M
"Shibaev, Alexander",194,77,Russian Federation,M
"Shimamoto, Mami",165,103,Japan,W
"Shimizu, Satoshi",179,56,Japan,M
"Shin, Jonghun",168,49,South Korea,M
"Shkermankova, Maryna",161,69,Belarus,W
"Shu, Junrong",177,75,China,M
"Shulika, Lyubov",166,65,Ukraine,W
"Shurshin, Nikita",191,95,Russian Federation,M
"Sibello, Gianfranco",188,84,Italy,M
"Sibley, Kelly",172,68,Team GB,W
"Sichenikova, Lidiia",183,68,Ukraine,W
"Siegrist, Benjamin",194,85,Switzerland,M
"Signate, Mariama",189,84,France,W
"Sikora, Rafal",177,73,Poland,M
"Silva, Erlon",176,75,Brazil,M
"Simanovich, Dzianis",178,63,Belarus,M
"Simic, Mateja",169,58,Slovenia,W
"Simmonds, Lizzie",171,60,Team GB,W
"Simpson, Andrew",185,103,Team GB,M
"Sinclair, Christine",175,67,Canada,W
"Sinclair, Scott",177,69,Team GB,M
"Sireau, Kevin",188,90,France,M
"Skelton, Katie",160,52,Team GB,W
"Skelton, Nick",175,77,Team GB,M
"Skov, Rikke",181,73,Denmark,W
"Skrzypulec, Agnieszka",166,56,Poland,W
"Skvortsov, Nikolay",180,78,Russian Federation,M
"Sliskovic, Iva",193,82,Croatia,W
"Slobodenyuk, Vadym",187,77,Ukraine,M
"Sluis, Nanne",193,88,Netherlands,M
"Smith, Alexander",183,115,Team GB,M
"Smith, Amy",172,59,Team GB,W
"Smith, Kelly",156,58,Team GB,W
"Smith, Louis",179,76,Team GB,M
"Smith, Maurice",175,67,Jamaica,M
"Smith, Rachel",172,64,Team GB,W
"Smith, Richard",189,93,Team GB,M
"Smith, Zoe",159,60,Team GB,W
"Snell, Francesca",175,63,Team GB,W
"Snyders, Glenn",179,81,New Zealand,M
"Sokolov, Alexander",192,87,Russian Federation,M
"Solesbury, Tom",199,97,Team GB,M
"Solomon, Jarrin",165,73,Trinidad and Tobago,M
"Sommer, Lene",170,66,Denmark,W
"Sordell, Marvin",179,83,Team GB,M
"Soriano, Yon",170,68,Dominican Republic,M
"Soro, Slobodan",198,98,Serbia,M
"Soumah, Ndeye Fatou",175,60,Senegal,W
"Sozonov, Ivan",180,80,Russian Federation,M
"Spence, Mhairi",171,71,Team GB,W
"Spencer, Mary",180,73,Canada,W
"Spisak, Pawel",176,68,Poland,M
"Spofforth, Gemma",183,85,Team GB,W
"Stafford, Natalie",176,66,Team GB,W
"Stalker, Tom",181,64,Team GB,M
"Stamper, Martin",180,68,Team GB,M
"Stannard, Ian",190,80,Team GB,M
"Stanning, Heather",181,74,Team GB,W
"Starling, Hannah",158,59,Team GB,W
"Steele, Jason",190,87,Team GB,M
"Steryiou, Adonia",180,59,Greece,W
"Stevenson, Sarah",178,67,Team GB,W
"Stewart, Azania",194,89,Team GB,W
"Stewart, Chelsea",165,54,Canada,W
"Steyaert, Sarah",176,69,France,W
"Stokes, Stuart",181,65,Team GB,M
"Stoney, Casey",173,64,Team GB,W
"Storey, John",186,85,New Zealand,M
"Storry, Beth",173,74,Team GB,W
"Stott, Etienne",182,83,Team GB,M
"Sturridge, Daniel",188,76,Team GB,M
"Subschinski, Nora",159,57,Germany,W
